Id	Globisporangium sylvaticum	Globisporangium spiculum	Globisporangium mamillatum	Globisporangium paroecandrum	Globisporangium irregulare	Globisporangium spinosum	Globisporangium heterothallicum	Globisporangium glomeratum	Globisporangium orthogonon	Globisporangium nunn	Globisporangium nodosum	Globisporangium perplexum	Phytopythium boreale	Phytopythium litorale	Phytopythium vexans	Globisporangium emineosum	Globisporangium aff._polymastum	Globisporangium jasmonium	Pythium insidiosum	Pythium monospermum	Pythium aphanidermatum	Pythium pectinolyticum	Pythium vanterpoolii	Pythium tracheiphilum	Pythium conidiophorum	Pythium aff._periilum	Pythium arrhenomanes	Pythium aff._volutum	Pythium volutum	Pythium inflatum	Pythium folliculosum	Pythium angustatum	Pythium aff._torulosum	Pythium catenulatum	Pythium afertile	Pythium kashmirense	Pythium pyrilobum	Pythium pachycaule	Pythium dissimile	Pythium chondricola	Pythium adhaerens	Pythium myriotylum	Pythium grandisporangium	Pythium lycopersicum	Pythium acanthicum	Pythium aff._hydnosporum	Pythium periplocum	Globisporangium nagaii	Globisporangium okanoganense	Globisporangium ultimum_var._ultimum	Globisporangium ultimum	Globisporangium camurandrum	Globisporangium rostratifingens	Globisporangium longandrum	Globisporangium acrogynum	Globisporangium carolinianum	Globisporangium papilogynum	Globisporangium erinaceus	Globisporangium radiosum	Globisporangium apiculatum	Globisporangium middletonii	Globisporangium rhizosaccharum	Globisporangium parvum	Globisporangium minus	Globisporangium aff._pleroticum	Globisporangium pleroticum	Globisporangium takayamanum	Globisporangium attrantheridium	Globisporangium intermedium	Pythium sp._nov	Globisporangium debaryanum	Globisporangium lucens	Globisporangium terrestris
year2019_soil_P21_adaptertrimmed_Pythium_R1.fastq	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	244	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2342	41	0	12	0	0	0	0	0	0	162	0	0	0	0	0	0	0	0	0	0	0	0	0
year2019_soil_P22_adaptertrimmed_Pythium_R1.fastq	38	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	44	0	0	0	0	0	0	0	0	237	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	280	119	0	0	0	0	0	0	0	0	215	0	0	0	0	0	0	0	0	0	197	0	0	0
year2019_soil_P23_adaptertrimmed_Pythium_R1.fastq	56	0	0	0	0	0	252	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	483	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	71	0	0	0
year2019_soil_P24_adaptertrimmed_Pythium_R1.fastq	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	118	0	0	0	0	0	0	108	0	0	0	0	0	0	0	0	0	264	0	0	0	0	0	0	0	57	0	0	0	0	119	0	0	14	0	0	0	0	0	0	47	0	0	0	0	0	0	0	0	12	0	0	0	0
year2019_soil_P25_adaptertrimmed_Pythium_R1.fastq	35	0	0	0	0	70	4	0	0	0	0	0	3	0	0	0	0	6	0	0	0	0	0	85	0	0	71	0	0	154	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	117	0	0	0	368	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26	0	0	0	0	0
year2019_soil_P26_adaptertrimmed_Pythium_R1.fastq	308	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30	0	0	0	22	0	0	0	0	0	0	0	0	0	28	0	0	0	0	0	0	0	112	0	0	0	740	0	14	277	0	0	0	0	0	0	0	0	0	0	0	0	0	0	475	0	0	0	0	0
year2019_soil_P27_adaptertrimmed_Pythium_R1.fastq	6	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	85	0	0	0	0	0	138	0	0	0	0	0	0	0	0	0	0	0	0	66	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
year2019_soil_P28_adaptertrimmed_Pythium_R1.fastq	26	0	0	0	91	0	0	156	0	0	0	0	0	0	0	0	0	0	0	0	155	0	0	0	0	0	39	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	193	0	0	0	0	0	6	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	341	0	0	0	0	0
year2019_soil_P29_adaptertrimmed_Pythium_R1.fastq	28	0	0	0	0	66	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	61	0	0	372	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	199	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	145	0	0	0	0	0
year2019_soil_P3_adaptertrimmed_Pythium_R1.fastq	24	0	0	0	0	0	373	0	0	0	0	0	0	0	0	0	0	0	0	167	0	0	14	0	0	0	0	354	497	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	641	21	0	0	0	0
year2019_soil_P30_adaptertrimmed_Pythium_R1.fastq	36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	65	0	0	0	0	0	0	85	0	0	0	37	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	4	0	0	0	0
year2019_soil_P31_adaptertrimmed_Pythium_R1.fastq	125	0	0	0	0	0	1235	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	117	0	0	0	290	0	0	0	0	0	0	0	0	0	0	0	0	735	0	0	0	0	37	0	0	0	0	0
year2019_soil_P32_adaptertrimmed_Pythium_R1.fastq	0	0	0	25	0	0	2110	0	0	0	0	0	0	0	0	0	0	0	0	81	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	458	0	0	0	0	0	0	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	69	0	0	0
year2019_soil_P33_adaptertrimmed_Pythium_R1.fastq	0	0	0	23	0	0	2159	0	0	0	0	0	0	0	0	0	0	0	0	158	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31	0	0	0	278	0	0	9	0	0	188	0	0	0	0	0	101	0	0	0	0	0	0	0	0	0	0	0
year2019_soil_P34_adaptertrimmed_Pythium_R1.fastq	90	0	0	13	0	0	89	0	0	0	0	0	0	0	0	0	0	0	0	140	0	0	0	0	0	0	1550	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	109	0	0	0	82	0	0	8	0	0	0	0	0	0	0	0	11	0	0	0	0	0	579	0	414	0	0	0
year2019_soil_P35_adaptertrimmed_Pythium_R1.fastq	0	0	0	0	0	0	727	0	360	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	180	0	0	0	0	0	0	0	0	0	169	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0
year2019_soil_P36_adaptertrimmed_Pythium_R1.fastq	0	0	0	0	0	0	2027	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	41	0	0	0	133	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	55	0	0	0	0	0
year2019_soil_P37_adaptertrimmed_Pythium_R1.fastq	9	0	0	0	0	0	705	0	0	0	0	0	107	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	0	0	0	14	0	0	0	0	0	75	0	0	0	0	0	0	0	0	0	12	0	105	0	30	0	0	0
year2019_soil_P38_adaptertrimmed_Pythium_R1.fastq	0	0	0	0	0	0	308	0	614	717	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	489	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	7	0	0	0	316	0	254	0	0	0	345	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0
year2019_soil_P39_adaptertrimmed_Pythium_R1.fastq	0	0	0	0	0	0	111	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32	0	0	0	10	0	0	0	517	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
year2019_soil_P4_adaptertrimmed_Pythium_R1.fastq	89	0	0	0	0	0	234	0	0	0	0	0	0	0	0	0	0	0	0	414	0	0	0	0	0	0	0	0	748	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	252	0	0	0	0	0
year2019_soil_P40_adaptertrimmed_Pythium_R1.fastq	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	78	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	293	0	0	0	0	0	0	0	45	0	0	0	0	0	44	0	0	0	288	0	232	0	650	148	0	0	0	0
year2019_soil_P41_adaptertrimmed_Pythium_R1.fastq	15	0	0	0	0	0	41	0	0	9	0	0	0	0	0	0	0	0	0	0	61	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	65	0	0	0	1093	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	84	148	595	0	0	0
year2019_soil_P42_adaptertrimmed_Pythium_R1.fastq	35	0	0	0	0	0	2029	0	0	0	0	0	0	0	0	0	0	0	0	353	0	0	0	0	0	0	55	0	0	0	0	0	161	0	0	0	0	0	0	0	0	232	0	0	0	146	0	0	0	8	0	0	0	12	0	0	0	0	0	6	0	0	0	0	0	45	0	1224	52	0	0	0	0
year2019_soil_P43_adaptertrimmed_Pythium_R1.fastq	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	153	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	337	0	0	0	0	0
year2019_soil_P44_adaptertrimmed_Pythium_R1.fastq	277	0	0	0	0	0	2192	0	0	0	5	0	0	0	0	0	0	0	0	2334	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	3	0	30	46	0	0	0	0	0	0	0	0	0	0	0	0	19	0	233	74	0	0	0	0
year2019_soil_P45_adaptertrimmed_Pythium_R1.fastq	66	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	692	155	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	62	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	43	67	0	0	0	0
year2019_soil_P5_adaptertrimmed_Pythium_R1.fastq	0	0	0	0	0	0	527	0	0	0	0	0	0	0	0	0	0	0	0	310	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	37	0	0	0	0	0	0	0	519	0	8	0	0	0
year2019_soil_P6_adaptertrimmed_Pythium_R1.fastq	244	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0	0	0	0	1377	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	314	0	0	0	0	0	0	0	0	0	0	0	0	0	29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26	0	0	0	0
year2019_soil_P7_adaptertrimmed_Pythium_R1.fastq	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	106	0	0	0	0	0	0	0	0	461	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	34	0	0	0	0	0
year2019_soil_P8_adaptertrimmed_Pythium_R1.fastq	343	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	129	0	0	0	0	0	0	36	0	186	355	0	0	97	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30	0	0	0	0	0
year2019_soil_P9_adaptertrimmed_Pythium_R1.fastq	42	0	0	0	0	0	41	0	0	0	0	0	0	0	4	0	0	0	0	258	0	0	0	0	0	0	31	0	0	0	0	0	0	0	0	0	0	0	46	0	0	0	0	0	0	0	0	0	0	29	0	0	41	5	0	0	0	0	0	18	0	0	0	0	0	0	0	631	12	0	0	0	0
year2020_soil_P1_adaptertrimmed_Pythium_R1.fastq	6251	0	0	0	0	0	26944	0	0	0	0	0	0	0	0	0	0	0	0	772	0	0	0	0	0	0	0	0	183	0	0	0	0	0	0	0	0	0	310	0	0	0	0	0	0	1950	0	0	0	0	0	0	143	0	0	0	0	0	0	107	0	0	0	0	0	0	0	1438	442	129	0	0	0
year2020_soil_P10_adaptertrimmed_Pythium_R1.fastq	4335	340	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	572	0	0	6656	0	0	45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1399	0	0	0	0	0
year2020_soil_P13_adaptertrimmed_Pythium_R1.fastq	1616	0	0	0	0	0	12208	457	0	0	0	0	0	0	0	0	0	0	0	413	0	0	0	0	0	0	0	59	0	0	0	0	0	0	0	0	0	0	228	0	0	365	0	0	0	14845	0	0	0	0	0	1924	1029	0	0	0	0	0	0	64	0	0	0	342	0	98	0	3757	784	22	0	0	182
year2020_soil_P14_adaptertrimmed_Pythium_R1.fastq	355	0	599	0	0	0	19	0	0	0	0	0	0	0	0	38	0	0	0	65	0	0	0	0	0	0	103	0	0	0	0	0	376	0	0	0	0	0	0	0	0	0	0	0	0	219	0	0	0	0	0	0	133	0	0	0	0	0	0	268	0	0	38	0	0	0	0	146	0	1097	378	0	0
year2020_soil_P15_adaptertrimmed_Pythium_R1.fastq	4995	0	0	0	61	0	4623	84	0	0	0	0	0	0	0	0	0	0	53	13	0	0	35	0	0	0	120	31	0	0	0	0	0	0	0	0	0	0	0	0	0	285	0	0	0	5520	0	0	0	20203	0	0	413	42	0	1045	0	0	0	1115	0	0	0	0	0	0	0	2332	723	510	0	0	0
year2020_soil_P16_adaptertrimmed_Pythium_R1.fastq	0	0	0	0	1941	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1347	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	404	0	0	0	9	0	0	2332	0	0	0	0	0	4976	0	0	0	0	0	0	0	0	0	0	4334	1433	0	0
year2020_soil_P17_adaptertrimmed_Pythium_R1.fastq	1617	0	0	0	0	0	18133	472	0	0	0	0	0	0	0	0	41	0	0	638	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0	0	0	9454	0	0	0	0	0	0	106	0	0	0	0	0	0	12236	0	50	0	225	0	132	0	2474	5717	0	0	0	100
year2020_soil_P19_adaptertrimmed_Pythium_R1.fastq	7894	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2583	0	0	0	0	0	78	0	0	0	0	0	0	0	0	0	0	0	0	266	0	0	18	0	0	0	204	0	0	0	0	0	0	0	0	0	224	0	0	0	0	4127	0	0	0	0	0
year2020_soil_P2_adaptertrimmed_Pythium_R1.fastq	131	0	0	0	0	0	238	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23195	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	317	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9275	0	0	0	0	0
year2020_soil_P20_adaptertrimmed_Pythium_R1.fastq	2949	1500	569	0	22	0	2017	0	0	0	0	0	0	0	0	128	0	0	0	348	0	0	0	0	0	0	139	262	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2385	0	0	0	0	0	0	615	0	0	0	0	0	48	0	0	0	0	0	0	0	0	298	0	1178	509	0	0
year2020_soil_P24_adaptertrimmed_Pythium_R1.fastq	146	0	0	0	27	0	268	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	599	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	224	0	0	0	3269	0	0	641	0	0	0	0	0	0	306	0	0	0	0	0	0	0	154	0	118	0	0	0
year2020_soil_P25_adaptertrimmed_Pythium_R1.fastq	187	0	0	0	0	0	1501	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4353	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	527	0	0	0	12145	0	1217	3784	0	0	0	0	0	0	199	0	0	0	0	0	0	0	372	742	571	0	0	0
year2020_soil_P26_adaptertrimmed_Pythium_R1.fastq	550	0	0	0	41	0	0	0	0	0	0	0	0	0	0	1885	0	0	0	88	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1347	0	0	0	12459	0	0	1311	0	0	0	0	0	0	320	0	0	0	0	0	0	0	0	483	3969	0	0	0
year2020_soil_P27_adaptertrimmed_Pythium_R1.fastq	461	0	0	0	96	0	2774	2841	0	406	152	101	0	0	0	0	0	0	0	4251	0	0	0	0	0	0	1162	0	0	149	0	0	0	0	0	0	0	0	0	0	0	0	41	0	42	537	173	0	0	3	0	53	0	9	0	0	0	0	0	0	0	0	0	352	0	0	0	5825	165	0	0	0	0
year2020_soil_P28_adaptertrimmed_Pythium_R1.fastq	1354	0	0	0	0	0	714	0	0	1482	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	264	0	0	0	0	0	894	0	0	0	0	0	0	0	0	0	0	0	0	2042	0	0	0	407	0	0	5333	0	0	136	0	0	0	0	0	0	0	0	0	241	171	3	0	0	0	0	0
year2020_soil_P29_adaptertrimmed_Pythium_R1.fastq	0	2841	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2317	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22477	0	0	0	0	0
year2020_soil_P3_adaptertrimmed_Pythium_R1.fastq	6290	0	72	0	0	0	484	0	0	0	0	0	0	0	0	0	0	0	0	541	0	0	113	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	131	0	0	0	0	0	0	0	0	0	0	0	0	0	722	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6564	0	44	0	0	0
year2020_soil_P30_adaptertrimmed_Pythium_R1.fastq	1408	22	0	0	0	185	7536	2267	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	611	0	0	178	0	0	0	416	0	0	0	0	0	0	0	0	0	0	0	1258	0	0	0	66	0	0	0	0	0	0	0	127	0	0	0	0	4822	0	0	0	0	790	0	0	0	0	0
year2020_soil_P31_adaptertrimmed_Pythium_R1.fastq	6487	0	0	0	0	9	15066	92	0	0	0	0	0	40	0	0	0	0	0	0	0	0	0	0	0	0	1869	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	12863	0	0	0	9901	0	0	0	0	0	0	0	0	0	0	0	0	1638	0	0	80	0	1695	0	0	0	0	0
year2020_soil_P32_adaptertrimmed_Pythium_R1.fastq	0	0	0	0	0	0	5101	0	5315	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	788	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	72	0	0	0	700	0	0	2510	0	114	0	398	0	0	0	1313	1100	0	0	0	0	265	0	0	0	0	0	0
year2020_soil_P33_adaptertrimmed_Pythium_R1.fastq	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0
