Id	Location	Country	Year	Compartment	Soilweight
year2020_bait_P4_adaptertrimmed_Pythium_R1.fastq	P20_L04	France	2020	Bait	heavy
year2020_bait_P5_adaptertrimmed_Pythium_R1.fastq	P20_L05	France	2020	Bait	light
year2020_bait_P6_adaptertrimmed_Pythium_R1.fastq	P20_L06	Italy	2020	Bait	medium
year2020_bait_P7_adaptertrimmed_Pythium_R1.fastq	P20_L07	Italy	2020	Bait	medium
year2020_bait_P8_adaptertrimmed_Pythium_R1.fastq	P20_L08	Italy	2020	Bait	medium
year2020_bait_P9_adaptertrimmed_Pythium_R1.fastq	P20_L09	Italy	2020	Bait	medium
year2020_bait_P10_adaptertrimmed_Pythium_R1.fastq	P20_L10	Italy	2020	Bait	heavy
year2020_bait_P13_adaptertrimmed_Pythium_R1.fastq	P20_L13	Germany	2020	Bait	light
year2020_bait_P14_adaptertrimmed_Pythium_R1.fastq	P20_L14	Germany	2020	Bait	light
year2020_bait_P15_adaptertrimmed_Pythium_R1.fastq	P20_L15	Germany	2020	Bait	medium
year2020_bait_P16_adaptertrimmed_Pythium_R1.fastq	P20_L16	Germany	2020	Bait	light
year2020_bait_P17_adaptertrimmed_Pythium_R1.fastq	P20_L17	Germany	2020	Bait	medium
year2020_bait_P19_adaptertrimmed_Pythium_R1.fastq	P20_L19	Germany	2020	Bait	medium
year2020_bait_P20_adaptertrimmed_Pythium_R1.fastq	P20_L20	Germany	2020	Bait	light
year2020_bait_P24_adaptertrimmed_Pythium_R1.fastq	P20_L24	Belgium	2020	Bait	light
year2020_bait_P25_adaptertrimmed_Pythium_R1.fastq	P20_L25	Belgium	2020	Bait	light
year2020_bait_P26_adaptertrimmed_Pythium_R1.fastq	P20_L26	Belgium	2020	Bait	light
year2020_bait_P27_adaptertrimmed_Pythium_R1.fastq	P20_L27	Spain	2020	Bait	medium
year2020_bait_P28_adaptertrimmed_Pythium_R1.fastq	P20_L28	Spain	2020	Bait	medium
year2020_bait_P29_adaptertrimmed_Pythium_R1.fastq	P20_L29	Spain	2020	Bait	light
year2020_bait_P30_adaptertrimmed_Pythium_R1.fastq	P20_L30	Spain	2020	Bait	medium
year2020_bait_P31_adaptertrimmed_Pythium_R1.fastq	P20_L31	Spain	2020	Bait	medium
year2020_bait_P32_adaptertrimmed_Pythium_R1.fastq	P20_L32	Romania	2020	Bait	heavy
year2020_bait_P33_adaptertrimmed_Pythium_R1.fastq	P20_L33	Romania	2020	Bait	heavy
year2020_bait_P34_adaptertrimmed_Pythium_R1.fastq	P20_L34	Romania	2020	Bait	heavy
year2020_bait_P36_adaptertrimmed_Pythium_R1.fastq	P20_L36	Romania	2020	Bait	heavy
year2020_bait_P37_adaptertrimmed_Pythium_R1.fastq	P20_L37	Hungary	2020	Bait	heavy
year2020_bait_P38_adaptertrimmed_Pythium_R1.fastq	P20_L38	Hungary	2020	Bait	heavy
year2020_bait_P39_adaptertrimmed_Pythium_R1.fastq	P20_L39	Hungary	2020	Bait	heavy
year2020_bait_P40_adaptertrimmed_Pythium_R1.fastq	P20_L40	Hungary	2020	Bait	heavy
year2020_bait_P41_adaptertrimmed_Pythium_R1.fastq	P20_L41	Hungary	2020	Bait	heavy
year2020_bait_P42_adaptertrimmed_Pythium_R1.fastq	P20_L42	Austria	2020	Bait	light
year2020_bait_P43_adaptertrimmed_Pythium_R1.fastq	P20_L43	Austria	2020	Bait	medium
year2020_bait_P44_adaptertrimmed_Pythium_R1.fastq	P20_L44	Switzerland	2020	Bait	light
year2020_bait_P45_adaptertrimmed_Pythium_R1.fastq	P20_L45	Switzerland	2020	Bait	medium
year2021_bait_P1_adaptertrimmed_Pythium_R1.fastq	P21_L01	France	2021	Bait	light
year2021_bait_P6_adaptertrimmed_Pythium_R1.fastq	P21_L06	Italy	2021	Bait	heavy
year2021_bait_P7_adaptertrimmed_Pythium_R1.fastq	P21_L07	Italy	2021	Bait	heavy
year2021_bait_P8_adaptertrimmed_Pythium_R1.fastq	P21_L08	Italy	2021	Bait	heavy
year2021_bait_P9_adaptertrimmed_Pythium_R1.fastq	P21_L09	Italy	2021	Bait	heavy
year2021_bait_P10_adaptertrimmed_Pythium_R1.fastq	P21_L10	Italy	2021	Bait	medium
year2021_bait_P11_adaptertrimmed_Pythium_R1.fastq	P21_L11	Belgium	2021	Bait	medium
year2021_bait_P12_adaptertrimmed_Pythium_R1.fastq	P21_L12	Belgium	2021	Bait	medium
year2021_bait_P13_adaptertrimmed_Pythium_R1.fastq	P21_L13	Germany	2021	Bait	heavy
year2021_bait_P14_adaptertrimmed_Pythium_R1.fastq	P21_L14	Germany	2021	Bait	light
year2021_bait_P15_adaptertrimmed_Pythium_R1.fastq	P21_L15	Germany	2021	Bait	medium
year2021_bait_P16_adaptertrimmed_Pythium_R1.fastq	P21_L16	Germany	2021	Bait	light
year2021_bait_P17_adaptertrimmed_Pythium_R1.fastq	P21_L17	Germany	2021	Bait	medium
year2021_bait_P18_adaptertrimmed_Pythium_R1.fastq	P21_L18	Germany	2021	Bait	light
year2021_bait_P19_adaptertrimmed_Pythium_R1.fastq	P21_L19	Germany	2021	Bait	medium
year2021_bait_P20_adaptertrimmed_Pythium_R1.fastq	P21_L20	Germany	2021	Bait	medium
year2021_bait_P21_adaptertrimmed_Pythium_R1.fastq	P21_L21	Netherland	2021	Bait	medium
year2021_bait_P22_adaptertrimmed_Pythium_R1.fastq	P21_L22	Belgium	2021	Bait	medium
year2021_bait_P23_adaptertrimmed_Pythium_R1.fastq	P21_L23	Netherland	2021	Bait	medium
year2021_bait_P24_adaptertrimmed_Pythium_R1.fastq	P21_L24	Belgium	2021	Bait	medium
year2021_bait_P25_adaptertrimmed_Pythium_R1.fastq	P21_L25	Belgium	2021	Bait	medium
year2021_bait_P26_adaptertrimmed_Pythium_R1.fastq	P21_L26	France	2021	Bait	medium
year2021_bait_P27_adaptertrimmed_Pythium_R1.fastq	P21_L27	Spain	2021	Bait	medium
year2021_bait_P28_adaptertrimmed_Pythium_R1.fastq	P21_L28	Spain	2021	Bait	medium
year2021_bait_P29_adaptertrimmed_Pythium_R1.fastq	P21_L29	Spain	2021	Bait	medium
year2021_bait_P30_adaptertrimmed_Pythium_R1.fastq	P21_L30	Spain	2021	Bait	heavy
year2021_bait_P31_adaptertrimmed_Pythium_R1.fastq	P21_L31	Spain	2021	Bait	heavy
year2021_bait_P32_adaptertrimmed_Pythium_R1.fastq	P21_L32	Romania	2021	Bait	medium
year2021_bait_P33_adaptertrimmed_Pythium_R1.fastq	P21_L33	Romania	2021	Bait	heavy
year2021_bait_P34_adaptertrimmed_Pythium_R1.fastq	P21_L34	Romania	2021	Bait	medium
year2021_bait_P35_adaptertrimmed_Pythium_R1.fastq	P21_L35	Romania	2021	Bait	heavy
year2021_bait_P36_adaptertrimmed_Pythium_R1.fastq	P21_L36	Romania	2021	Bait	heavy
year2021_bait_P37_adaptertrimmed_Pythium_R1.fastq	P21_L37	Hungary	2021	Bait	heavy
year2021_bait_P38_adaptertrimmed_Pythium_R1.fastq	P21_L38	Hungary	2021	Bait	heavy
year2021_bait_P39_adaptertrimmed_Pythium_R1.fastq	P21_L39	Hungary	2021	Bait	heavy
year2021_bait_P40_adaptertrimmed_Pythium_R1.fastq	P21_L40	Hungary	2021	Bait	heavy
year2021_bait_P41_adaptertrimmed_Pythium_R1.fastq	P21_L41	Hungary	2021	Bait	heavy
year2021_bait_P42_adaptertrimmed_Pythium_R1.fastq	P21_L42	Austria	2021	Bait	medium
year2021_bait_P43_adaptertrimmed_Pythium_R1.fastq	P21_L43	Austria	2021	Bait	heavy
year2021_bait_P44_adaptertrimmed_Pythium_R1.fastq	P21_L44	Switzerland	2021	Bait	heavy
year2021_bait_P45_adaptertrimmed_Pythium_R1.fastq	P21_L45	Switzerland	2021	Bait	light
year2021_bait_P46_adaptertrimmed_Pythium_R1.fastq	P21_L46	Czech_republic	2021	Bait	light
year2021_bait_P48_adaptertrimmed_Pythium_R1.fastq	P21_L48	Germany	2021	Bait	heavy
year2021_bait_P49_adaptertrimmed_Pythium_R1.fastq	P21_L49	Germany	2021	Bait	heavy
