Id	Globisporangium sylvaticum	Globisporangium heterothallicum	Pythium monospermum	Pythium arrhenomanes	Pythium aff._hydnosporum	Globisporangium ultimum_var._ultimum	Globisporangium rostratifingens	Globisporangium apiculatum	Globisporangium attrantheridium	Globisporangium intermedium	Pythium sp._nov
year2019_soil_P1_adaptertrimmed_Pythium_R1.fastq	0.0983213429256595	0.851318944844125	0	0	0	0	0.013189448441247	0.00419664268585132	0.0191846522781775	0.01378896882494	0
year2019_soil_P10_adaptertrimmed_Pythium_R1.fastq	0.0315544260906396	0.095722151630665	0.246082168572639	0	0.182126217704363	0	0	0	0.438161795849216	0	0
year2019_soil_P11_adaptertrimmed_Pythium_R1.fastq	0.00411861614497529	0.213756177924217	0.191927512355848	0.230230642504119	0	0.129324546952224	0	0.0350082372322899	0.124382207578254	0.00782537067545305	0.0609555189456343
year2019_soil_P12_adaptertrimmed_Pythium_R1.fastq	0.00340102030609183	0.81924577373212	0.00210063018905672	0	0.0382114634390317	0	0.00760228068420526	0	0.0701210363108933	0.0119035710713214	0
year2019_soil_P13_adaptertrimmed_Pythium_R1.fastq	0.00491937687892867	0.753347909264826	0.00300628587045641	0	0.0225471440284231	0	0.00341623394370046	0	0.129816889860618	0.0207707023776988	0
year2019_soil_P14_adaptertrimmed_Pythium_R1.fastq	0	0.00231006160164271	0.00577515400410678	0.075847022587269	0	0	0.00693018480492813	0	0.0333675564681725	0	0.0150154004106776
year2019_soil_P15_adaptertrimmed_Pythium_R1.fastq	0.00804331013147718	0.065583913379737	0.0267594740912606	0	0.181283836040217	0.0929621036349575	0.00587780355761794	0.00324825986078886	0.0730085073472544	0.00262954369682908	0
year2019_soil_P16_adaptertrimmed_Pythium_R1.fastq	0	0	0	0.236842105263158	0.641052631578947	0	0.00842105263157895	0	0	0	0
year2019_soil_P17_adaptertrimmed_Pythium_R1.fastq	0.0832684824902724	0.336705577172503	0.0264591439688716	0	0	0	0	0.00881971465629053	0.224124513618677	0	0
year2019_soil_P18_adaptertrimmed_Pythium_R1.fastq	0	0.0516684607104413	0.0175816289917474	0.84642985288841	0	0	0	0	0.00753498385360603	0.00574094007893793	0
year2019_soil_P19_adaptertrimmed_Pythium_R1.fastq	0.140030441400304	0	0.037037037037037	0.0750887874175545	0.382039573820396	0	0.00101471334348047	0	0.291730086250634	0.0436326737696601	0
year2019_soil_P2_adaptertrimmed_Pythium_R1.fastq	0	0.620906471050563	0.127063138590516	0	0.0275085145402148	0	0	0	0.20225307833377	0.000785957558291852	0
year2019_soil_P20_adaptertrimmed_Pythium_R1.fastq	0.102857142857143	0.0451948051948052	0.00311688311688312	0.439480519480519	0	0.152727272727273	0.0462337662337662	0	0.0218181818181818	0	0.0207792207792208
year2019_soil_P21_adaptertrimmed_Pythium_R1.fastq	0.00461975835110163	0	0.0867093105899076	0	0	0.83226723525231	0.00426439232409382	0.0575692963752665	0	0	0
year2019_soil_P22_adaptertrimmed_Pythium_R1.fastq	0.0332458442694663	0	0.0384951881014873	0	0	0.244969378827647	0	0.188101487314086	0	0	0.172353455818023
year2019_soil_P23_adaptertrimmed_Pythium_R1.fastq	0.0637087599544937	0.286689419795222	0.0193401592718999	0	0	0.549488054607508	0	0	0	0	0.080773606370876
year2019_soil_P24_adaptertrimmed_Pythium_R1.fastq	0	0.00805369127516779	0.158389261744966	0.14496644295302	0	0.159731543624161	0.0187919463087248	0.0630872483221477	0	0.0161073825503356	0
year2019_soil_P25_adaptertrimmed_Pythium_R1.fastq	0.0372736954206603	0.00425985090521832	0	0.0756123535676251	0.124600638977636	0.391906283280085	0	0	0.0276890308839191	0	0
year2019_soil_P26_adaptertrimmed_Pythium_R1.fastq	0.153539381854437	0	0	0	0.0558325024925224	0.36889332003988	0.138085742771685	0	0.23678963110668	0	0
year2019_soil_P27_adaptertrimmed_Pythium_R1.fastq	0.0198019801980198	0.0264026402640264	0	0.280528052805281	0.217821782178218	0	0	0	0	0	0
year2019_soil_P28_adaptertrimmed_Pythium_R1.fastq	0.025615763546798	0	0	0.038423645320197	0.190147783251232	0	0	0	0.335960591133005	0	0
year2019_soil_P29_adaptertrimmed_Pythium_R1.fastq	0.0321469575200918	0	0	0.0700344431687715	0.228473019517796	0	0	0	0.166475315729047	0	0
year2019_soil_P3_adaptertrimmed_Pythium_R1.fastq	0.0113475177304965	0.176359338061466	0.0789598108747045	0	0	0	0.0113475177304965	0	0.303073286052009	0.0099290780141844	0
year2019_soil_P30_adaptertrimmed_Pythium_R1.fastq	0.148148148148148	0	0.267489711934156	0.349794238683128	0	0	0	0	0.065843621399177	0.0164609053497942	0
year2019_soil_P31_adaptertrimmed_Pythium_R1.fastq	0.0489045383411581	0.483176838810642	0.0066510172143975	0	0.0457746478873239	0.113458528951487	0	0	0.0144757433489828	0	0
year2019_soil_P32_adaptertrimmed_Pythium_R1.fastq	0	0.762834417932032	0.0292841648590022	0	0.165582067968185	0	0.00831525668835864	0	0	0	0.0249457700650759
year2019_soil_P33_adaptertrimmed_Pythium_R1.fastq	0	0.732609433322022	0.0536138445877163	0	0.0105191720393621	0.0943332202239566	0.00305395317271802	0	0	0	0
year2019_soil_P34_adaptertrimmed_Pythium_R1.fastq	0.0291734197730956	0.0288492706645057	0.0453808752025932	0.502431118314425	0.0353322528363047	0.026580226904376	0.00259319286871961	0	0.187682333873582	0	0.13419773095624
year2019_soil_P35_adaptertrimmed_Pythium_R1.fastq	0	0.503462603878116	0	0	0.124653739612188	0	0	0	0	0	0.00554016620498615
year2019_soil_P36_adaptertrimmed_Pythium_R1.fastq	0	0.898492907801418	0	0	0.0181737588652482	0.0589539007092199	0	0	0.0243794326241135	0	0
year2019_soil_P37_adaptertrimmed_Pythium_R1.fastq	0.00819672131147541	0.64207650273224	0	0.0182149362477231	0.0191256830601093	0.0127504553734062	0	0	0.0956284153005464	0	0.0273224043715847
year2019_soil_P38_adaptertrimmed_Pythium_R1.fastq	0	0.099935107073329	0	0.0045425048669695	0.00227125243348475	0.102530824140169	0	0.00194678780012979	0	0	0
year2019_soil_P39_adaptertrimmed_Pythium_R1.fastq	0	0.165671641791045	0	0	0.0477611940298507	0.0149253731343284	0	0	0	0	0
year2019_soil_P4_adaptertrimmed_Pythium_R1.fastq	0.051237766263673	0.134715025906736	0.238341968911917	0	0	0	0	0	0.145077720207254	0	0
year2019_soil_P40_adaptertrimmed_Pythium_R1.fastq	0	0	0.0435267857142857	0.0078125	0.163504464285714	0	0	0.0245535714285714	0.362723214285714	0.0825892857142857	0
year2019_soil_P41_adaptertrimmed_Pythium_R1.fastq	0.00710563713879678	0.0194220748460445	0	0	0.0307910942681194	0.517764092846992	0	0	0.039791567977262	0.0701089531027949	0.281856939838939
year2019_soil_P42_adaptertrimmed_Pythium_R1.fastq	0.00803120697567692	0.465580541532813	0.0810004589261129	0.0126204681046352	0.0335016062413951	0.0018357044515833	0	0.00137677833868747	0.280862781092244	0.0119320789352914	0
year2019_soil_P43_adaptertrimmed_Pythium_R1.fastq	0	0	0	0.291984732824427	0	0.0648854961832061	0	0	0.643129770992366	0	0
year2019_soil_P44_adaptertrimmed_Pythium_R1.fastq	0.0530448104174646	0.41976254308694	0.446955189582535	0	0	0.000574492531597089	0.0088088854844887	0	0.0446189199540406	0.0141708157793949	0
year2019_soil_P45_adaptertrimmed_Pythium_R1.fastq	0.0608294930875576	0	0	0.63778801843318	0.0571428571428571	0	0	0	0.03963133640553	0.0617511520737327	0
year2019_soil_P5_adaptertrimmed_Pythium_R1.fastq	0	0.374289772727273	0.220170454545455	0	0	0	0.00497159090909091	0.0262784090909091	0.368607954545455	0	0.00568181818181818
year2019_soil_P6_adaptertrimmed_Pythium_R1.fastq	0.120612951062778	0	0.680672268907563	0	0	0	0.0143351458230351	0	0	0.0128521997034108	0
year2019_soil_P7_adaptertrimmed_Pythium_R1.fastq	0.0376175548589342	0	0.166144200626959	0	0	0	0.0203761755485893	0	0.0532915360501567	0	0
year2019_soil_P8_adaptertrimmed_Pythium_R1.fastq	0.291666666666667	0	0.10969387755102	0.0306122448979592	0	0	0	0	0.0255102040816327	0	0
year2019_soil_P9_adaptertrimmed_Pythium_R1.fastq	0.0362694300518135	0.035405872193437	0.22279792746114	0.0267702936096718	0	0.0250431778929188	0.035405872193437	0.0155440414507772	0.544905008635579	0.0103626943005181	0
year2020_soil_P1_adaptertrimmed_Pythium_R1.fastq	0.161654038118389	0.696785538803693	0.0199643124983837	0	0.0504279914143112	0	0.00369805270371616	0.00276707440068272	0.0371874111045023	0.0114303447205772	0.00333600558586982
year2020_soil_P10_adaptertrimmed_Pythium_R1.fastq	0.324792088109688	0	0	0.0428560725256612	0	0	0	0	0.104817561998951	0	0
year2020_soil_P13_adaptertrimmed_Pythium_R1.fastq	0.0420910061730003	0.317974630792071	0.0107571692756492	0	0.386659026385018	0	0.0268017607376345	0.00166697054150496	0.0978563800692835	0.0204203891334358	0.000573021123642331
year2020_soil_P14_adaptertrimmed_Pythium_R1.fastq	0.0925925925925926	0.00495565988523735	0.0169535732916015	0.0268648930620762	0.0571205007824726	0	0.0346896191966614	0.0699008868022953	0.0380803338549817	0	0.286124152321335
year2020_soil_P15_adaptertrimmed_Pythium_R1.fastq	0.118356514939696	0.109541975688932	0.000308034973817027	0.00284339975831102	0.130796388882307	0.478710044309646	0.0097860341681871	0.0264199227543066	0.0552567353031775	0.0171314835438239	0.0120844489728218
year2020_soil_P16_adaptertrimmed_Pythium_R1.fastq	0	0	0	0.0801022835394862	0.0240247383444339	0.000535204567078972	0.138677450047574	0	0	0	0.257730732635585
year2020_soil_P17_adaptertrimmed_Pythium_R1.fastq	0.0314438502673797	0.352610597958192	0.0124064171122995	0.000213903743315508	0.183840544482256	0	0.00206125425376762	0.237938745746232	0.0481088964511424	0.111171609139524	0
year2020_soil_P19_adaptertrimmed_Pythium_R1.fastq	0.512464294988315	0.000649182030641392	0	0.167683718514672	0.017268242015061	0	0.0132433134250844	0	0.267917424045702	0	0
year2020_soil_P2_adaptertrimmed_Pythium_R1.fastq	0.00395101942333213	0.00717818795994692	0	0.699571721558692	0	0	0.00956086379539148	0	0.279738207262637	0	0
year2020_soil_P20_adaptertrimmed_Pythium_R1.fastq	0.227423459551168	0.155548700547544	0.0268373563661603	0.0107195187784376	0.183928433716357	0	0.0474280866815763	0	0.022981414359528	0	0.0908459936762551
year2020_soil_P24_adaptertrimmed_Pythium_R1.fastq	0.0253824756606398	0.0465924895688456	0	0.10413769123783	0.0389429763560501	0.568324061196106	0.11143949930459	0.0531988873435327	0.0267732962447844	0	0.0205146036161335
year2020_soil_P25_adaptertrimmed_Pythium_R1.fastq	0.00730525822329869	0.0586373935463708	0	0.170052347839675	0.0205875459020236	0.474451128994453	0.147824048753809	0.00777404484725369	0.0145323853426049	0.0289866395812173	0.0223064301898586
year2020_soil_P26_adaptertrimmed_Pythium_R1.fastq	0.0244956130583886	0	0.00391929808934218	0	0.0599919832539082	0.554892441989934	0.0583886340355409	0.0142519930521534	0	0.021511602013094	0.17676925132499
year2020_soil_P27_adaptertrimmed_Pythium_R1.fastq	0.0235288113101618	0.141581176950952	0.216965242688715	0.0593068953197571	0.0274077476649824	0.000153115908742918	0	0	0.2973000561425	0.00842137498086051	0
year2020_soil_P28_adaptertrimmed_Pythium_R1.fastq	0.103826393681466	0.0547504025764895	0	0.0202438463308029	0.156583084119316	0.0312092630933211	0.408941032129438	0	0.000230043708304578	0	0
year2020_soil_P29_adaptertrimmed_Pythium_R1.fastq	0	0	0	0.0837520332550154	0.000144587023314657	0	0.000867522139887945	0	0.812470630760889	0	0
year2020_soil_P3_adaptertrimmed_Pythium_R1.fastq	0.420426442082748	0.032350778691264	0.0361606844462269	0	0	0	0.0482588062295301	0	0.438740725887307	0	0.002940979881024
year2020_soil_P30_adaptertrimmed_Pythium_R1.fastq	0.0715229096820075	0.382810118866199	0	0.0310372853804734	0.0639032815198618	0.0033526363913441	0	0	0.0401300416539673	0	0
year2020_soil_P31_adaptertrimmed_Pythium_R1.fastq	0.13036575562701	0.302773311897106	0	0.0375602893890675	0.258500803858521	0.198975080385852	0	0	0.0340635048231511	0	0
year2020_soil_P32_adaptertrimmed_Pythium_R1.fastq	0	0.288289815756754	0	0.0445348705775969	0.00406917599186165	0.0395614332542105	0.141855996382955	0	0	0	0
